200,200,200,200,102,1
400,400,400,400,830,1
600,600,600,600,2786,1
800,800,800,800,6636,1
1000,1000,1000,1000,13045,1
1200,1200,1200,1200,22646,1
1400,1400,1400,1400,35856,1
1600,1600,1600,1600,53977,1
1800,1800,1800,1800,77473,1
2000,2000,2000,2000,105313,1
2200,2200,2200,2200,140131,1
2400,2400,2400,2400,183242,1
2600,2600,2600,2600,232136,1
2800,2800,2800,2800,288537,1
3000,3000,3000,3000,355624,1
200,200,200,200,102,2
400,400,400,400,853,2
600,600,600,600,2911,2
800,800,800,800,6852,2
1000,1000,1000,1000,13534,2
1200,1200,1200,1200,23289,2
1400,1400,1400,1400,37132,2
1600,1600,1600,1600,55983,2
1800,1800,1800,1800,79357,2
2000,2000,2000,2000,111995,2
2200,2200,2200,2200,144721,2
2400,2400,2400,2400,190949,2
2600,2600,2600,2600,240969,2
2800,2800,2800,2800,306036,2
3000,3000,3000,3000,376414,2
5,5,5,2,0,1
