Nodes,Time Brute Force,Time Dynamic Programming,Time Greedy
10,6982.164062,1.712661,0.127703
10,6070.332520,2.018698,0.363783
10,5923.713379,2.280346,0.194524
4,0.171802,0.184621,0.137827
4,0.197436,0.219443,0.160365
4,0.207800,0.169157,0.154563
5,0.258401,0.261167,0.183269
5,0.296183,0.331891,0.175854
5,0.301574,0.205365,0.154794
6,1.064539,0.274982,0.197831
6,1.046359,0.175634,0.174627
6,1.242292,0.243603,0.146399
7,8.730528,0.303878,0.149689
7,7.242009,0.260976,0.164868
7,6.491543,0.288459,0.199950
8,56.854641,0.410761,0.191754
8,49.417290,0.535388,0.172779
8,47.225574,0.533965,0.178019
9,507.860596,0.904871,0.158917
9,558.301208,1.184321,0.251799
9,515.834839,0.979162,0.141975
